strategy,variant,qty,kind,expiration,t_days,strike,bid,ask,mid,iv,delta,gamma,theta,vega
A) Term-vol butterfly — sell the 38d peak,call,1,C,2026-07-31,10,124.0,6.6,6.8,6.7,0.840019,0.52044,0.023195,-0.34897,0.08147
A) Term-vol butterfly — sell the 38d peak,call,-2,C,2026-08-28,38,125.0,13.8,14.3,14.05,0.911547,0.54868,0.010898,-0.19564,0.15784
A) Term-vol butterfly — sell the 38d peak,call,1,C,2026-09-18,59,125.0,16.5,16.8,16.65,0.857351,0.56294,0.009252,-0.14841,0.19568
A) Term-vol butterfly — sell the 38d peak,put,1,P,2026-07-31,10,124.0,7.0,7.3,7.15,0.856712,-0.47887,0.022741,-0.34114,0.08146
A) Term-vol butterfly — sell the 38d peak,put,-2,P,2026-08-28,38,125.0,15.4,15.7,15.55,0.949472,-0.4485,0.010453,-0.18865,0.1577
A) Term-vol butterfly — sell the 38d peak,put,1,P,2026-09-18,59,125.0,17.8,18.1,17.95,0.893444,-0.43398,0.008867,-0.13954,0.19543
B) Calendar — sell 59d vs 150d,call,-1,C,2026-09-18,59,125.0,16.5,16.8,16.65,0.857351,0.56294,0.009252,-0.14841,0.19568
B) Calendar — sell 59d vs 150d,call,1,C,2026-12-18,150,125.0,23.7,25.1,24.4,0.770699,0.60219,0.00632,-0.08438,0.30553
B) Calendar — sell 59d vs 150d,put,-1,P,2026-09-18,59,125.0,17.8,18.1,17.95,0.893444,-0.43398,0.008867,-0.13954,0.19543
B) Calendar — sell 59d vs 150d,put,1,P,2026-12-18,150,125.0,24.8,25.2,25.0,0.81429,-0.39268,0.005961,-0.07398,0.30445
C) Bullish diagonal — long 150d / short 38d OTM,call,1,C,2026-12-18,150,125.0,23.7,25.1,24.4,0.770699,0.60219,0.00632,-0.08438,0.30553
C) Bullish diagonal — long 150d / short 38d OTM,call,-1,C,2026-08-28,38,134.0,10.3,10.7,10.5,0.905556,0.45353,0.010977,-0.19356,0.15794
C) Bullish diagonal — long 150d / short 38d OTM,put,1,P,2026-12-18,150,125.0,24.8,25.2,25.0,0.81429,-0.39268,0.005961,-0.07398,0.30445
C) Bullish diagonal — long 150d / short 38d OTM,put,-1,P,2026-08-28,38,134.0,20.3,22.1,21.2,0.958579,-0.53731,0.010395,-0.18938,0.15833
